No.,Time,Source,Destination,Protocol,Length,goEID,Cmd,llno,parameter,allData,item_1,item_2,item_3,item_4,bit-str1,bit-str2,bit-str3,bit-str4
321,15.744404,SiemensE_00:32:02,Iec-Tc57_01:00:01,GOOSE,173,TIED4,CTRL,LLN0,Control_DataSet_1,2,FALSE,,,,0,,,
322,15.744405,SiemensE_00:32:02,Iec-Tc57_01:00:09,GOOSE,181,TIED4,CTRL,LLN0,Control_DataSet_2,4,TRUE,FALSE,,,0,0,,
324,16.131156,SiemensE_00:69:56,Iec-Tc57_01:00:00,GOOSE,191,TIED2,CTRL,LLN0,Control_DataSet,8,TRUE,TRUE,TRUE,TRUE,0,0,0,0
326,16.22186,ipcas_f8:c4:fe,Iec-Tc57_01:00:00,GOOSE,175,MIED1,CTRL,LLN0,Control_DataSet,4,TRUE,TRUE,,,0,0,,
331,16.719632,ipcas_f8:c4:fe,Iec-Tc57_01:00:00,GOOSE,175,MIED1,CTRL,LLN0,Control_DataSet,4,TRUE,TRUE,,,0,0,,
332,16.760853,ipcas_f8:c4:fd,Iec-Tc57_01:00:03,GOOSE,167,TIED1,CTRL,LLN0,Control_DataSet,2,FALSE,,,,0,,,
333,16.760855,ipcas_f8:c4:fd,Iec-Tc57_01:00:07,GOOSE,173,TIED1,CTRL,LLN0,Control_DataSet_1,2,TRUE,,,,0,,,
335,17.165532,SiemensE_00:32:0c,Iec-Tc57_01:00:05,GOOSE,167,GIED2,CTRL,LLN0,Control_DataSet,2,FALSE,,,,0,,,
336,17.218049,ipcas_f8:c4:fe,Iec-Tc57_01:00:00,GOOSE,175,MIED1,CTRL,LLN0,Control_DataSet,4,TRUE,TRUE,,,0,0,,
341,17.487542,ipcas_f8:c4:d8,Iec-Tc57_01:00:06,GOOSE,167,GIED1,PROT,LLN0,Control_DataSet,2,FALSE,,,,0,,,
342,17.494138,SiemensE_00:69:56,Iec-Tc57_01:00:04,GOOSE,173,TIED2,CTRL,LLN0,Control_DataSet_2,2,FALSE,,,,0,,,
343,17.495147,SiemensE_00:69:56,Iec-Tc57_01:00:08,GOOSE,181,TIED2,CTRL,LLN0,Control_DataSet_1,4,TRUE,FALSE,,,0,0,,
344,17.716946,ipcas_f8:c4:fe,Iec-Tc57_01:00:00,GOOSE,175,MIED1,CTRL,LLN0,Control_DataSet,4,TRUE,TRUE,,,0,0,,
345,17.743235,SiemensE_00:32:02,Iec-Tc57_01:00:02,GOOSE,175,TIED4,CTRL,LLN0,Control_DataSet,4,TRUE,TRUE,,,0,0,,
346,17.744304,SiemensE_00:32:02,Iec-Tc57_01:00:01,GOOSE,173,TIED4,CTRL,LLN0,Control_DataSet_1,2,FALSE,,,,0,,,
347,17.744305,SiemensE_00:32:02,Iec-Tc57_01:00:09,GOOSE,181,TIED4,CTRL,LLN0,Control_DataSet_2,4,TRUE,FALSE,,,0,0,,
349,18.130041,SiemensE_00:69:56,Iec-Tc57_01:00:00,GOOSE,191,TIED2,CTRL,LLN0,Control_DataSet,8,TRUE,TRUE,TRUE,TRUE,0,0,0,0
350,18.214789,ipcas_f8:c4:fe,Iec-Tc57_01:00:00,GOOSE,175,MIED1,CTRL,LLN0,Control_DataSet,4,TRUE,TRUE,,,0,0,,
360,18.713104,ipcas_f8:c4:fe,Iec-Tc57_01:00:00,GOOSE,175,MIED1,CTRL,LLN0,Control_DataSet,4,TRUE,TRUE,,,0,0,,
361,18.758943,ipcas_f8:c4:fd,Iec-Tc57_01:00:03,GOOSE,167,TIED1,CTRL,LLN0,Control_DataSet,2,FALSE,,,,0,,,
362,18.758945,ipcas_f8:c4:fd,Iec-Tc57_01:00:07,GOOSE,173,TIED1,CTRL,LLN0,Control_DataSet_1,2,TRUE,,,,0,,,
364,19.163797,SiemensE_00:32:0c,Iec-Tc57_01:00:05,GOOSE,167,GIED2,CTRL,LLN0,Control_DataSet,2,FALSE,,,,0,,,
365,19.211395,ipcas_f8:c4:fe,Iec-Tc57_01:00:00,GOOSE,175,MIED1,CTRL,LLN0,Control_DataSet,4,TRUE,TRUE,,,0,0,,
369,19.486245,ipcas_f8:c4:d8,Iec-Tc57_01:00:06,GOOSE,167,GIED1,PROT,LLN0,Control_DataSet,2,FALSE,,,,0,,,
370,19.494206,SiemensE_00:69:56,Iec-Tc57_01:00:04,GOOSE,173,TIED2,CTRL,LLN0,Control_DataSet_2,2,FALSE,,,,0,,,
371,19.494208,SiemensE_00:69:56,Iec-Tc57_01:00:08,GOOSE,181,TIED2,CTRL,LLN0,Control_DataSet_1,4,TRUE,FALSE,,,0,0,,
373,19.709866,ipcas_f8:c4:fe,Iec-Tc57_01:00:00,GOOSE,175,MIED1,CTRL,LLN0,Control_DataSet,4,TRUE,TRUE,,,0,0,,
374,19.741898,SiemensE_00:32:02,Iec-Tc57_01:00:02,GOOSE,175,TIED4,CTRL,LLN0,Control_DataSet,4,TRUE,TRUE,,,0,0,,
375,19.7419,SiemensE_00:32:02,Iec-Tc57_01:00:01,GOOSE,173,TIED4,CTRL,LLN0,Control_DataSet_1,2,FALSE,,,,0,,,
376,19.741901,SiemensE_00:32:02,Iec-Tc57_01:00:09,GOOSE,181,TIED4,CTRL,LLN0,Control_DataSet_2,4,TRUE,FALSE,,,0,0,,
377,20.130512,SiemensE_00:69:56,Iec-Tc57_01:00:00,GOOSE,191,TIED2,CTRL,LLN0,Control_DataSet,8,TRUE,TRUE,TRUE,TRUE,0,0,0,0
378,20.208713,ipcas_f8:c4:fe,Iec-Tc57_01:00:00,GOOSE,175,MIED1,CTRL,LLN0,Control_DataSet,4,TRUE,TRUE,,,0,0,,
385,20.707878,ipcas_f8:c4:fe,Iec-Tc57_01:00:00,GOOSE,175,MIED1,CTRL,LLN0,Control_DataSet,4,TRUE,TRUE,,,0,0,,
386,20.758742,ipcas_f8:c4:fd,Iec-Tc57_01:00:03,GOOSE,167,TIED1,CTRL,LLN0,Control_DataSet,2,FALSE,,,,0,,,
387,20.758743,ipcas_f8:c4:fd,Iec-Tc57_01:00:07,GOOSE,173,TIED1,CTRL,LLN0,Control_DataSet_1,2,TRUE,,,,0,,,
391,21.162025,SiemensE_00:32:0c,Iec-Tc57_01:00:05,GOOSE,167,GIED2,CTRL,LLN0,Control_DataSet,2,FALSE,,,,0,,,
392,21.206375,ipcas_f8:c4:fe,Iec-Tc57_01:00:00,GOOSE,175,MIED1,CTRL,LLN0,Control_DataSet,4,TRUE,TRUE,,,0,0,,
396,21.484416,ipcas_f8:c4:d8,Iec-Tc57_01:00:06,GOOSE,167,GIED1,PROT,LLN0,Control_DataSet,2,FALSE,,,,0,,,
398,21.492598,SiemensE_00:69:56,Iec-Tc57_01:00:04,GOOSE,173,TIED2,CTRL,LLN0,Control_DataSet_2,2,FALSE,,,,0,,,
399,21.492601,SiemensE_00:69:56,Iec-Tc57_01:00:08,GOOSE,181,TIED2,CTRL,LLN0,Control_DataSet_1,4,TRUE,FALSE,,,0,0,,
402,21.703674,ipcas_f8:c4:fe,Iec-Tc57_01:00:00,GOOSE,175,MIED1,CTRL,LLN0,Control_DataSet,4,TRUE,TRUE,,,0,0,,
403,21.740421,SiemensE_00:32:02,Iec-Tc57_01:00:02,GOOSE,175,TIED4,CTRL,LLN0,Control_DataSet,4,TRUE,TRUE,,,0,0,,
404,21.740422,SiemensE_00:32:02,Iec-Tc57_01:00:01,GOOSE,173,TIED4,CTRL,LLN0,Control_DataSet_1,2,FALSE,,,,0,,,
405,21.740423,SiemensE_00:32:02,Iec-Tc57_01:00:09,GOOSE,181,TIED4,CTRL,LLN0,Control_DataSet_2,4,TRUE,FALSE,,,0,0,,
407,22.12809,SiemensE_00:69:56,Iec-Tc57_01:00:00,GOOSE,191,TIED2,CTRL,LLN0,Control_DataSet,8,TRUE,TRUE,TRUE,TRUE,0,0,0,0
408,22.201799,ipcas_f8:c4:fe,Iec-Tc57_01:00:00,GOOSE,175,MIED1,CTRL,LLN0,Control_DataSet,4,TRUE,TRUE,,,0,0,,
415,22.699788,ipcas_f8:c4:fe,Iec-Tc57_01:00:00,GOOSE,175,MIED1,CTRL,LLN0,Control_DataSet,4,TRUE,TRUE,,,0,0,,
416,22.756245,ipcas_f8:c4:fd,Iec-Tc57_01:00:03,GOOSE,167,TIED1,CTRL,LLN0,Control_DataSet,2,FALSE,,,,0,,,
417,22.756247,ipcas_f8:c4:fd,Iec-Tc57_01:00:07,GOOSE,173,TIED1,CTRL,LLN0,Control_DataSet_1,2,TRUE,,,,0,,,
418,23.160291,SiemensE_00:32:0c,Iec-Tc57_01:00:05,GOOSE,167,GIED2,CTRL,LLN0,Control_DataSet,2,FALSE,,,,0,,,
419,23.198698,ipcas_f8:c4:fe,Iec-Tc57_01:00:00,GOOSE,175,MIED1,CTRL,LLN0,Control_DataSet,4,TRUE,TRUE,,,0,0,,
427,23.48282,ipcas_f8:c4:d8,Iec-Tc57_01:00:06,GOOSE,167,GIED1,PROT,LLN0,Control_DataSet,2,FALSE,,,,0,,,
428,23.491327,SiemensE_00:69:56,Iec-Tc57_01:00:04,GOOSE,173,TIED2,CTRL,LLN0,Control_DataSet_2,2,FALSE,,,,0,,,
